Chip,Hour,Droplet,Bacteria Count
C5,00h,00583-04961.roi,0.0
C5,00h,00584-04914.roi,0.0
C5,00h,00585-04939.roi,0.0
C5,00h,00586-04916.roi,0.0
C5,00h,00587-04997.roi,19.0
C5,00h,00588-04985.roi,0.0
C5,00h,00589-04965.roi,0.0
C5,00h,00590-05064.roi,0.0
C5,00h,00591-04966.roi,0.0
C5,00h,00592-04991.roi,0.0
C5,00h,00593-05033.roi,38.0
C5,00h,00594-04990.roi,0.0
C5,00h,00595-05093.roi,78.0
C5,00h,00596-04999.roi,0.0
C5,00h,00597-05373.roi,843.0
C5,00h,00598-05070.roi,0.0
C5,00h,00599-05069.roi,0.0
C5,00h,00600-05054.roi,0.0
C5,00h,00601-05056.roi,0.0
C5,00h,00602-05111.roi,35.0
C5,00h,00603-05161.roi,0.0
C5,00h,00604-05077.roi,0.0
C5,00h,00605-05124.roi,46.0
C5,00h,00606-05092.roi,0.0
C5,00h,00607-05088.roi,0.0
C5,00h,00608-05101.roi,0.0
C5,00h,00609-05083.roi,0.0
C5,00h,00610-05120.roi,0.0
C5,00h,00611-05228.roi,34.0
C5,00h,00612-05235.roi,89.0
C5,00h,00613-05126.roi,0.0
C5,00h,00614-05197.roi,15.0
C5,00h,00615-05170.roi,0.0
C5,00h,00616-05693.roi,1105.0
C5,00h,00617-05559.roi,1221.0
C5,00h,00618-06057.roi,3482.0
C5,00h,00619-05150.roi,0.0
C5,00h,00620-05174.roi,0.0
C5,00h,00621-05142.roi,0.0
C5,00h,00622-05141.roi,0.0
C5,00h,00623-05199.roi,0.0
C5,00h,00624-05305.roi,0.0
C5,00h,00625-05159.roi,0.0
C5,00h,00626-05242.roi,0.0
C5,00h,00627-05195.roi,0.0
C5,00h,00628-05235.roi,0.0
C5,00h,00629-05207.roi,0.0
C5,00h,00630-05790.roi,2348.0
C5,00h,00631-05299.roi,0.0
C5,00h,00632-05213.roi,0.0
C5,00h,00633-05315.roi,46.0
C5,00h,00634-05861.roi,3546.0
C5,00h,00635-05376.roi,97.0
C5,00h,00636-05289.roi,0.0
C5,00h,00637-05279.roi,0.0
C5,00h,00638-05310.roi,0.0
C5,00h,00639-05284.roi,0.0
C5,00h,00640-05430.roi,14.0
C5,00h,00641-05433.roi,0.0
C5,00h,00642-05462.roi,0.0
C5,00h,00643-05326.roi,0.0
C5,00h,00644-05306.roi,0.0
C5,00h,00645-06200.roi,7037.0
C5,00h,00646-05364.roi,0.0
C5,00h,00647-05328.roi,0.0
C5,00h,00648-05466.roi,31.0
C5,00h,00649-05401.roi,0.0
C5,00h,00650-05353.roi,0.0
C5,00h,00651-05375.roi,0.0
C5,00h,00652-05372.roi,0.0
C5,00h,00653-05389.roi,0.0
C5,00h,00654-05715.roi,0.0
C5,00h,00655-05417.roi,0.0
C5,00h,00656-05445.roi,0.0
C5,00h,00657-05406.roi,0.0
C5,00h,00658-05503.roi,0.0
C5,00h,00659-05420.roi,0.0
C5,00h,00660-05974.roi,3385.0
C5,00h,00661-05486.roi,0.0
C5,00h,00662-05400.roi,0.0
C5,00h,00663-05467.roi,0.0
C5,00h,00664-05409.roi,0.0
C5,00h,00665-05417.roi,0.0
C5,00h,00666-05428.roi,0.0
C5,00h,00667-05512.roi,0.0
C5,00h,00668-05514.roi,0.0
C5,00h,00669-05448.roi,0.0
C5,00h,00670-05621.roi,126.0
C5,00h,00671-05541.roi,0.0
C5,00h,00672-05495.roi,0.0
C5,00h,00673-05548.roi,0.0
C5,00h,00674-05579.roi,11.0
C5,00h,00675-05609.roi,0.0
C5,00h,00676-05523.roi,0.0
C5,00h,00677-05543.roi,0.0
C5,00h,00678-05531.roi,0.0
C5,00h,00679-05604.roi,0.0
C5,00h,00680-05524.roi,0.0
C5,00h,00681-05525.roi,0.0
C5,00h,00682-05532.roi,0.0
C5,00h,00683-05651.roi,0.0
C5,00h,00684-05569.roi,0.0
C5,00h,00685-05637.roi,0.0
C5,00h,00686-05858.roi,0.0
C5,00h,00687-05934.roi,0.0
C5,00h,00688-05595.roi,0.0
C5,00h,00689-05641.roi,0.0
C5,00h,00690-05954.roi,0.0
C5,00h,00691-05583.roi,0.0
C5,00h,00692-05633.roi,0.0
C5,00h,00693-06090.roi,1870.0
C5,00h,00694-05954.roi,535.0
C5,00h,00695-05621.roi,0.0
C5,00h,00696-05622.roi,0.0
C5,00h,00697-05643.roi,0.0
C5,00h,00698-05674.roi,0.0
C5,00h,00699-05692.roi,0.0
C5,00h,00700-05690.roi,0.0
C5,00h,00701-05716.roi,0.0
C5,00h,00702-05712.roi,0.0
C5,00h,00703-06119.roi,754.0
C5,00h,00704-05750.roi,0.0
C5,00h,00705-05686.roi,0.0
C5,00h,00706-05683.roi,0.0
C5,00h,00707-05759.roi,0.0
C5,00h,00708-05783.roi,92.0
C5,00h,00709-05696.roi,0.0
C5,00h,00710-05806.roi,0.0
C5,00h,00711-05804.roi,0.0
C5,00h,00712-05763.roi,0.0
C5,00h,00713-05764.roi,0.0
C5,00h,00714-06457.roi,6751.0
C5,00h,00715-05817.roi,0.0
C5,00h,00716-05822.roi,0.0
C5,00h,00717-05779.roi,0.0
C5,00h,00718-05880.roi,36.0
C5,00h,00719-05829.roi,0.0
C5,00h,00720-05795.roi,0.0
C5,00h,00721-06024.roi,0.0
C5,00h,00722-05833.roi,0.0
C5,00h,00723-05797.roi,0.0
C5,00h,00724-05808.roi,0.0
C5,00h,00725-05874.roi,0.0
C5,00h,00726-05907.roi,0.0
C5,00h,00727-05841.roi,0.0
C5,00h,00728-05986.roi,0.0
C5,00h,00729-05942.roi,27.0
C5,00h,00730-05860.roi,0.0
